word,reading,meaning_en,pos,common
譲渡可能,じょうとかのう,transferable,adj-na,False
譲渡不能,じょうとふのう,non-transferable,adj-na,False
無害通航,むがいつうこう,innocent passage,n,False
契約違反,けいやくいはん,breach of contract,n,False
履行遅滞,りこうちたい,delay in performance,n,False
履行不能,りこうふのう,unenforceability,n,False
債権譲渡,さいけんじょうと,cession of an obligation,n,False
資産凍結,しさんとうけつ,assets freeze,n,False
自然債務,しぜんさいむ,natural obligation,n,False
代物弁済,だいぶつべんさい,payment in substitutes,n,False
激甚災害,げきじんさいがい,major disaster (that necessitates economic support to its victims),n,False
博物館法,はくぶつかんほう,Museum Act,n,False
海洋秩序,かいようちつじょ,international order of the seas,n,False
自力救済,じりききゅうさい,self-help,n,False
公の秩序,おおやけのちつじょ,public order,"exp,n",False
心裡留保,しんりりゅうほ,mental reservation,n,False
取得時効,しゅとくじこう,acquisitive prescription,n,False
嫡出推定,ちゃくしゅつすいてい,presumption of legitimacy,n,False
待婚期間,たいこんきかん,period of prohibition of remarriage,n,False
免責事項,めんせきじこう,disclaimer,n,False
接見交通,せっけんこうつう,(defendant's) access to a lawyer,n,False
認定死亡,にんていしぼう,declared death without identification of a body,n,False
法定果実,ほうていかじつ,civil fruits,n,False
天然果実,てんねんかじつ,natural fruits,n,False
退去強制,たいきょきょうせい,deportation,n,False
即日結審,そくじつけっしん,immediate decision,n,False
抗拒不能,こうきょふのう,inability to resist,n,False
特定妊婦,とくていにんぷ,specified expectant mother,n,False
法人税法,ほうじんぜいほう,Corporation Tax Act,n,False
所掌事務,しょしょうじむ,scope of affairs under the jurisdiction,n,False
相続税法,そうぞくぜいほう,Inheritance Tax Act,n,False
無期禁錮,むききんこ,life imprisonment without work,n,False
争点整理,そうてんせいり,procedures to determine the points at issue,n,False
生前贈与,せいぜんぞうよ,gift inter vivos,n,False
共犯証言,きょうはんしょうげん,state's evidence,n,False
民事調停,みんじちょうてい,civil conciliation,n,False
犯人隠避,はんにんいんぴ,(crime of) aiding a criminal to avoid capture,n,False
商業地域,しょうぎょうちいき,commercial area,n,False
過失相殺,かしつそうさい,comparative negligence,n,False
狩猟鳥獣,しゅりょうちょうじゅう,animals that can legally be hunted,n,False
特定空家,とくていあきや,specially designated vacant house,n,False
同意年齢,どういねんれい,age of consent,n,False
任意組合,にんいくみあい,voluntary partnership,n,False
単純承認,たんじゅんしょうにん,unconditional acceptance (of an inheritance),n,False
感染症法,かんせんしょうほう,Infectious Disease Act,n,False
権利能力,けんりのうりょく,legal capacity to hold rights,n,False
強制性交,きょうせいせいこう,forcible sexual intercourse,n,False
不法残留,ふほうざんりゅう,(illegally) overstaying one's visa,n,False
限嗣相続,げんしそうぞく,entail (in Western common law),n,False
接道義務,せつどうぎむ,obligation for a building site to have access to a public road wider than 4 meters,n,False
２項道路,にこうどうろ,road that is narrower than 4 meters but still counts as a valid connecting road for determining if construction is allowed on a plot adjacent to the road,n,False
改善命令,かいぜんめいれい,orders for improvement (from an authority to a business operator in its jurisdiction),n,False
通知義務,つうちぎむ,obligation to give notice,n,False
記名押印,きめいおういん,affixing one's name and seal,"n,vs,vi",False
保険業法,ほけんぎょうほう,Insurance Business Act,n,False
税理士法,ぜいりしほう,Certified Public Tax Accountant Act,n,False
消費税法,しょうひぜいほう,Consumption Tax Act,n,False
図書館法,としょかんほう,Library Act,n,False
薬剤師法,やくざいしほう,Pharmacists Act,n,False
浄化槽法,じょうかそうほう,Purification Tank Act,n,False
理容師法,りようしほう,Barbers Act,n,False
美容師法,びようしほう,Cosmetologists Act,n,False
特殊公園,とくしゅこうえん,"special (urban) park (such as a zoo, botanical garden, etc.)",n,False
裁判所法,さいばんしょほう,Court Act,n,False
弁理士法,べんりしほう,Patent Attorneys Act,n,False
信託財産,しんたくざいさん,property in trust,n,False
内国法人,ないこくほうじん,domestic corporation,n,False
法令番号,ほうれいばんごう,act number (within a year),n,False
強行法規,きょうこうほうき,mandatory statute,n,False
強行規定,きょうこうきてい,mandatory statute,n,False
再犯防止,さいはんぼうし,recidivism prevention,n,False
被留置者,ひりゅうちしゃ,detainee,n,False
貸金業法,かしきんぎょうほう,Money Lending Business Act,n,False
先占取得,せんせんしゅとく,acquisition by occupancy,n,False
債務名義,さいむめいぎ,title of debt,n,False
特定少年,とくていしょうねん,18 and 19-year olds (legally adults but covered by the 2022 Juvenile Act),n,False
公用収用,こうようしゅうよう,eminent domain,n,False
法規裁量,ほうきさいりょう,controlled discretion,n,False
越権代理,えっけんだいり,unauthorized proxy,n,False
犯罪被害,はんざいひがい,criminal damage,n,False
行政解剖,ぎょうせいかいぼう,autopsy initiated by government authorities,n,False
賠償命令,ばいしょうめいれい,court order for compensation,n,False
代理処罰,だいりしょばつ,proxy punishment (system of punishment under the laws of a country to which a perpetrator has fled),n,False
鑑定留置,かんていりゅうち,confinement for psychiatric tests,n,False
職権主義,しょっけんしゅぎ,inquisitorial system,n,False
職権探知,しょっけんたんち,court-initiated fact discovery,n,False
危難失踪,きなんしっそう,disappearance (longer than one year after an accident or disaster),n,False
公訴事実,こうそじじつ,facts constituting the offense charged,n,False
予防拘禁,よぼうこうきん,preventive detention,n,False
委任契約,いにんけいやく,delegation contract,n,False
省エネ法,しょうエネほう,Law Concerning the Rational Use of Energy,n,False
競業避止,きょうぎょうひし,"non-competition (clause, obligation, etc.)",n,False
重要事実,じゅうようじじつ,material fact,n,False
地位保全,ちいほぜん,maintaining the status quo of the parties (by temporary injunction),n,False
不正競争,ふせいきょうそう,unfair competition,n,False
家事審判,かじしんぱん,family court adjudication,n,False
家事調停,かじちょうてい,mediation or conciliation by a family court,n,False
対人信用,たいじんしんよう,personal credit,n,False
飛び領土,とびりょうど,enclave,n,False
相隣関係,そうりんかんけい,relationship between two neighboring properties,n,False
証拠能力,しょうこのうりょく,admissibility of evidence,n,False
供述調書,きょうじゅつちょうしょ,record of statement (written by the investigator),n,False
限定承認,げんていしょうにん,qualified acceptance,n,False
非親告罪,ひしんこくざい,offense prosecutable without a formal complaint,n,False
証人尋問,しょうにんじんもん,examination of a witness,n,False
非常上告,ひじょうじょうこく,extraordinary appeal (to the Supreme Court),n,False
認定基準,にんていきじゅん,certification criteria,n,False
少年院法,しょうねんいんほう,Juvenile Training School Act,n,False
刑の量定,けいのりょうてい,assessment of a penalty,"exp,n",False
嫌疑なし,けんぎなし,(nonprosecution due to) lack of suspicion,exp,False
